pubchem_CID,IUPAC Name,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
73219,"3,5-ditert-butyl-4-hydroxybenzaldehyde  ",33519,47186,28128,77844,16308,15127,8983,29955,11495,5907,3041.171,7379,15368,4813.281,45845,9132.466,12801,37574,7602,14387,8178,8081,19930,5803,9308,3029,1006.563,5030,14713,57056,6842,1824.088,11354.64,2532,11287,2415.154,6280,3858,5497,14677,8043,21874.04,7447.811,13415,2097.07,25495,7611,12553,26895,6994,15134,4896,11998
141033,"3,6,6-trimethylcyclohex-2-en-1-one  ",26240.99,32775,50640.21,25882,15814,24067,20777,64656.12,32850,14475,16574,28082,36055,13392,34689,15085,26462,51472,18749,27580.09,24043,15038,23520,22603,9553,8177,26361.65,10880,17670,5009,7800,12347,26006,10450,13130,30818,19186,13373,18766,22702,23216,37093.08,13874,14601,16636,4694.071,8866,26423,5540,9037,20797,14450,13092
530435,cyclobutyl 4-ethylbenzoate  ,282201.9,1100867,886710,524349,983502,426718,3106.657,818884.5,427741,364536,311775,1337880,1026253,195315,582409,491600,2117.138,99742.82,9741.366,117.6529,283632,183.0693,481241,212.6148,251004,150.319,0.9442762,533403,105.2244,133.0515,1.053892,216230.4,51054.82,3474895,465227,798219,1226565,477163,849664,356746,440321,849905,374511,739742,549.6394,467173.5936,57.90348,431652,622548,305630,76.79237,711961,474675
520181,4-methyldocosane  ,7320.339,2369.214,3008,3790,6000.821,8792.588,2862,4986,8965,6507,9707,5524,8562,8416.748,9352,8262.926,15934,10041,5219.011,4120.03,6688,6316,7629,6558,8526,7602.625,5045,4933,8177,9383.901,6122,3742,7180,12481,12517.13,5044.376,14489,7608,8710,8631,7969.227,10582,11033,10025,12331,10793,9457,12906,8146,6787,4930,6777,4731
91731726,(4-trimethylsilyloxybenzoyl) 4-trimethylsilyloxybenzoate  ,114490.9,106667,87147.62,105337.5,201136,143917,105629,90116,197533,74245.81,147663.9,107057.9,173351,487811,131226,148454.7,192764,118855,159947,74293,62599,90157,56021.16,2332.501,108391.8,53541,107475.7,74561,156027.7,84399,61004,56606,76648,144066.3,132708.5,104620,308210,88902.73,103960.9,106243.7,150011.9,123383,103850,138218,140992,583.2982,143645,72214,86457.62,83213,55886.15,83271.03,87204
71728917,5-chloro-3-indol-1-yl-1-[(4-methoxyphenyl)methyl]-3H-indol-2-one  ,1713.45,2223,2113,2394,2677.001,2914,2682.902,3486,3528.908,5049,3013.458,1775.152,3440,6344.598,3924,3854,3193.074,2398.789,3165.979,3133,2969,1893.168,1750.707,1551.786,3694,3773,2115,3484,2323.866,2314.627,1868.61,4173,2117.402,4404.93,5315,4437,4859.774,5790,3432,5137.435,4809.496,3002.273,5139,2975,8054,5044.434,5470,5745.707,1986.942,2698,1169.164,3052,4808
575987,5H-cyclopenta[b]pyridine  ,76688,113125,165791,270198,37209,1140179,382841,100952,1315293,1407083,258642,375165,2238.305,14561,186416,53186,2893.707,4235.672,385247,152201,274863,739616,58696,101079,75751,233226,1657.269,81398,66274,238565,49159,695811,38093,612970,516965,1854095,914.785,1849882,24753,60969,5043127,458192,127234,8477,8593.508,26778.92,1010190,150332,100528,116646,155251,242927.8,253191
7410,1-phenylethanone  ,270493.1,457904,469350,477633,371541,416492,394663,287576,781447,219370,691871,864819,788955,452944,391287,386539,393644,244493,744747,195698,189480,158580.6,287065,236382.8,102061.8,700029,473050,422194,407471,563743,103322,314275,290309,938074,385571,785287,223532.7,657840,467372,215896,404473,451235,725993,1013537,648329,701.1515,206304,620455,404561,231286,523774,679956,197145
91713521,1-O-butyl 6-O-propan-2-yl hexanedioate  ,7372.978,6037.228,7282.927,5041,10133,149599,7255,32495.92,10277,14485,29324,5118.093,5297,13676,8842.735,9398,19350,18512,4668.696,6355,12553,7401,14164,7807.198,11415.77,10169,6950,6814,2000.988,7133,8928,3264,4483,3708,14807.44,10479,7319,8726,4132,24750,3913.909,25348,20130,21586,10936,7190,15804,18697,5242,18773,6870,35826,13095
1303,2-hydroxy-2-phenylpropanoic acid  ,510230,742059,1447991,825122,227185.8,474362,214170.8,1565351,579830,37277,164834,556722,607858,86295,119365,479055.8,439923,1279317,535358,1072753,1397398,164602.6,528345,215114,54051,173045,351841,217189,518607,439861,231788,107505,759021,620557,535191,68202,60618,439045,367260,61903,661040,1284964,447680,668666,47695,401016.7,54221,530081,305332,133033,567502,475874,52932
