pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
21630,2-ethylhexyl 3-(4-methoxyphenyl)prop-2-enoate  ,69299,124673,1603.927,1431.686,1510.425,1248.669,919.1467,1529.945,37619,3829,5765,5045,11579,6628,22402,25650,1291.656,5079,1505.007,10841,27026,16220,6165,21182,6551,1333.568,1648.434,4287,4091,2835,1528.652,1159.016,8145
137353,"3-ethyl-3-[4-(hydroxyamino)phenyl]piperidine-2,6-dione  ",37122.09,5306,4880,17832,6517,8906,10600,4227.949,5278,7869,7448,10605,11192,5499,5515,8847.834,3723,9916,3768.754,4307,5830,8467,3155.928,6588,8432,3490,3986,9280,11369,6584,9009,4482.816,7581
688289, 3-[2-(4-hydroxyphenyl)propan-2-yl]phenol,6667,22524,1794.592,4331.105,12597,10052,7393,3454,3752.447,6564,8321,12736,7860,2536.545,25263,15534,893.4545,7494,2796,2990,4863,4302,68647.43,2127.915,5191,30424,6394,40322,4113,3896,75765,12977.32777,3676
558880,"(5-oxooxolan-2-yl)methyl 3,5-dinitrobenzoate  ",5488.001,23075,4211.416,3504.724,30008,21753,9127,4217,14799,27047,33857,18580,59609,24939,3738,11694,22392,3255.21,9599,3412,2069.144,4044,4296.294,10087,2417.714,5067,14925,19115,2676.757,7486.037,12921,5309,3795
73219,"3,5-ditert-butyl-4-hydroxybenzaldehyde  ",9947,13238,9262,19845.06,17969,5247,22266,5015,14012,23368,8667,33323,17584,12302,10597,19120,3336.128,2471.84,5895,9799,6152,4009,4051,4591,5685,5054,6094.931,8374,23624.63,16820,14044,7731,8326
141033,"3,6,6-trimethylcyclohex-2-en-1-one  ",26351.98,18320,21623,13700.61,33544,26291,30189,11573,16232,25383,16116,30906,42436.89,95524,13885,21741,11328,5533.039,23014,7853,10481,17664,6508,18274,19792,10418,9777,41555,31282,17677,20183,10508,7420
66013,cyclohex-3-ene-1-carbonitrile,8785,4247,2968,2988,4140,3594.666,2306.041,5104,5187,6601,2946.898,13369,3958,4080.343,18425,7264,3982,3038.871,3269,3619.698,12110,7870,1591.283,2494.119,1717.228,1813.772,1927.689,4189.486,3447.255,3398,3188.013,2978,2818.445
27470,3-methylheptan-4-one,26892,6299,6908,10282,9239,23797,13095,13292,16127,26933,8548,31457,20471,16989,45830,30389,15702,13274,13768,6952,42605,26424,5019,13527,12549,4376,12186,13900.33,18206,12008,11773,6078.515,15200
70,4-methyl-2-oxopentanoic acid,18728,12491,5255.299,11407,9348,12567,8458,6282,6058,11364.82,7248,12350,9900,6634,12181,8685,2504.414,6903,3083,6295,6480,8135,3204,4018,7576,3583,4054.253,13592.51,8513,4919,10433,2876,4178
91731726,(4-trimethylsilyloxybenzoyl) 4-trimethylsilyloxybenzoate  ,153457,207885,82077,85991,190899,149185,152040,67791,59486,142171,130496,145409,163741,91726,177861,144183,82363,169966,84395,72373,128332,100810,313038,66741,110294,231172,69315,413475,172531,133600,258573,73436,100036
575987,5H-cyclopenta[b]pyridine  ,496072,368285,659660,43946.36,176007,13086,2359741,38599,1192004,21835,798115,183567,201236,1552724,80957,1688159,494.6923,614.2554,112875,19453,167820,229072.2,572008,219704,123970,70051,1070.462,1781867,1524.753,2332.448,810220,328939,377552
7410,1-phenylethanone  ,1077318,433464,356219,557637,491855,1015753,523991,616347,611065,819388,572592,1085280,622689,549197,1603935,894461,541331,433284,520657,357864,1204250,953267,211296,485977,403536,208979,381025,634061,604308,413397,347425.2,283274,562741
91713521,1-O-butyl 6-O-propan-2-yl hexanedioate  ,6823,2707,4987,11097,26098,14673,7236,18509,7076.303,11078,26800,199828,31211,31344,14119,8353,9694,2828.304,22988,8209,4349,16012,12302,7246,11681,5989,19794,38259,29150,5458,12007,6100,16654
1303,2-hydroxy-2-phenylpropanoic acid  ,3023999,510411,460028,181623,154703,409263,772716.1,311794,359652,389411.6,378953,479770.6,324261.6,171838,664602,887726,170951.4,588326,322373,184350,683324,613159,144409.7,349406.2,987046,157847,286389,181597,357513,484211,527230.3,315832,370788
9231,azulene ,40547.28,58321,68536,40488,83379,40091,85596,96125,77644,71368,34086,118708,98954,100603,119661,135693,60846,75917,72041,59182,69124,87129,33798,70421,109307,54834,67979,96891,116027,46039,88274,22688,24594
240,benzaldehyde  ,377455.9,8737.307,98685,359614,265867.5,414590,176276,263256,119440,286940,211227,502203,288204,166942,574659,227115,201462,214437,166081,64467,464200,255101,94647,139317,121274,64379,111810,163152,169027,374078,132927,169031,273477
34225,"3,5-dimethylbenzaldehyde",34348.08,20064,16820,50652,15750,20193,26176,11189.42,10386,46669,38919,21460,47391,17171,24995,16411.38,5847,18825.65,4604,21887,21188,26048.7,3589.6,11845.04,20384.81,9709,12476,83313,16215,12736,110680,31457,23903
67583415,"N,4-diethyl-N-methylbenzamide  ",1538.524,26638,1009.207,3249,5960.234,7318,4726.502,1380.522,2659.812,2959,4784,2666.891,3005.07,13765,21087,3804,1528.932,2808.802,1644.479,10658,8716,11907,3206,6674,25758,6549,7896,20804,14097,4121,17355,8099,2053.871
7406,cumene,15537,238298,8455,18325,210615,43247,102519.1,16561,9292,10736,7876,15797,13504,10513,13410,15431,7890,6699,10699,12974,9085,14118,11259,13123,10511,7941,17234.1,14923,17988,13168,16673,6244.056,8723.869
7602,"1,3,5-triethylbenzene  ",16345.59,63081,5105,21386,23587,32227,25198,5705,10685,15172,13410,15254,23392,35323,52199,19469,3788.056,25642.25,5442,30830,29677,46205,23506.67,19589,62069,34764.01,20279,75879,48917,16781,51873,19291,9434.695
