pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
7410,1-phenylethanone  ,336265,506391,829493,247770,608236,293402,925267,589239,1184005,1097132,705480,400238.6,960358,690023,503196,1028732,352978,168822,539829,371824.4,674480,259363,504946,269722,250017,922682,759550,492297,725973,798670,398356,232218,330683,198264,767353
91713521,1-O-butyl 6-O-propan-2-yl hexanedioate  ,22235,10608,6241.62,38327,29115,17140,10342,10387,6077.39,10507,19590,7191,15254.13,13206.84,13472,7818,7674,9948,6007.771,191777,13074,6239,1727.939,10300,6244,17367,25022,22303.24,10180,8932,8668,29891,27320,8768,14135
180508,tris(trimethylsilyl) arsorite,909.6777,47636,66316,42450,35846,34496,161785,72650.92,1183031,71511,134350,389.3356,279973,87260.44,38559,191756,74394,32529.74,101312,65440.63,61480,18645.06,178242,15022,15092,59067,79736,15824,49238,128500,32243,48903,27395.67,15993,55643
1303,2-hydroxy-2-phenylpropanoic acid  ,164707,909276,475450,539572.6,511883,549776,437476.5,293560.3,1221188,381992.5,493739,692281,776479,994063,646276,456966,377197.5,169908,178225,906401,775218,229049,255255.2,243113.4,335843,287491,332498,480730,366356,1121120,65738.86,309557,164419,99377,555303
9231,azulene ,45744,76360,118282,115627,127003,90930,82358,39059,36281,35415,125845,173802,40608,40073,80864,71295,24921,22438,65536,121321,88326,53534,13146,72878,39743,104878,118730,103379,31529,128202,55550,29342,68114,44560,91429
240,benzaldehyde  ,3326.821,2802.814,7797.907,69738.99,203837,192471,347374,259741,432054,747076,251569,4118.359,252586,334736,145154,288841,184403,81692,150937.8,89219,138756,81602,234455,100841.9,191767,225053,279896,161894,284809,232180,103620,103606,76543,95157,184204
34225,"3,5-dimethylbenzaldehyde",15703,14455.28,10527.58,19810,54389,13739,6940,59495,82314.28,34446,46020.28,38017.15,15465.91,43338,19954,8228,41390,14066,5546,17781.93,9474.222,9010,4912,7996,3013,13488,20068.26,21320,14079.55,32051.37,9690,9823,17195,6394,10625.12
7406,cumene,194.5992,22789.04,392.534,27252,47819,40707,35010,43254,50594,50201,37264,182.4778,66931,49954,29721,40803,30513.5,24693,65704,58670,45452,19523,37806,24381,55876,55927,44572,45599,35298,39870,38612,29519,30883,38687,33643
7602,"1,3,5-triethylbenzene  ",7423.618,7851.108,19864,39284,10983,11055,21951.21,26349,62773,14948,11393.79,16147.72,48683,33411.79,14993,13117.54,58945,9397,8462.047,69725,28761.68,23137,20490,3445,17534,9674,29185.96,7954,21718,26103,9187,27949.17,28266,11916,15281
585014,1-ethoxy-4-[2-(4-pentylcyclohexyl)ethyl]benzene  ,4405,10631.51,12782,10688,7261,5214,6577,10605,13638.41,16468,9536,12027,18369.83,15925.12,6418,3790,8816,7465,4272,6570,5479,4862,3375,5038,2906.346,3892,13280,10797,11236,9908.263,3189,2397.115,4984,1986.738,4151.346
12160,1-ethyl-4-methylbenzene,110834,144672,292141.1,8060,13308,16215,200517.3,12307,326039.8,10386,191533.7,3930.079,22341,14168,10144,11242,108215.8,7611,17392,16416,11755,4118,188421.6,7741,19385,16012,13335,12350,13711.38,11126,12261,9069,10636,16026,145431.3
998,2-phenylacetaldehyde,8377.852,18997,21812,5811.807,9065,4598,7954,7506,19067,11785,9185,327.2896,6554,17739,5390,6704,4893,3961,2851.005,6242,3553,5912,8008,5052,3664,3994,9836,20516,20730,19169,9086,4062,4561,4525,3579
12053,2-phenylpropan-2-ol,2182348,4975350,3907025,2408380,4672726,2021839,3457698,1578985,8646185,4569499,4242153,4068166,7087416,4752876,3543388,6049024,1708923,870319,3499868,3098284,4253422,942865,4338404,1930080,1267800,3992925,3408330,3711652,4836808,6086686,1753168,1010050,2147387,1485644,4811081
637516,(1R)-1-phenylethanol,8096,11700,14619.2,6878,18290.79,6161,10564,5761,32201,14652,11537.92,9286,18684,10938,10305,14911.17,5493,3022.42,9977,10750,7203,4494,11080,4308,3206.019,11888,10290,11804,8674,22926,4504,3499,4587.628,2409.335,7929
